,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
0,Kate,Burrito Bedfordshire Clangers,2nd,'Liver Building Turret' Savoy Cake,8,_Forgotten_Bakes,8
1,Liam,'Take Out' Bedfordshire Clangers,5th,'Fort Wizardore' Savoy Cake,8,_Forgotten_Bakes,8
2,Sophie,Char Siu & Banana Praline Bedfordshire Clangers,4th,Citrus with Green Apple Croquembouche Savoy Cake,8,_Forgotten_Bakes,8
3,Stacey,Camembert & Onion and Apple & Blueberry Bedfordshire Clangers,3rd,'Bright' Lemon & Orange Savoy Cake,8,_Forgotten_Bakes,8
4,Steven,'Mediterranean Medley' Bedfordshire Clangers,1st,Chestnut Rum Savoy Cake,8,_Forgotten_Bakes,8
0,Kate,Bellini and Valencian Orange Choux Buns,4th,'Rainbow' Meringue Centrepiece,9,_P.C3.A2tisserie_.28semi-final.29,8
1,Sophie,Strawberry & Rhubarb and Chestnut & Vanilla Choux Buns,1st,'Tutu with Opera Filling' Meringue Centrepiece,9,_P.C3.A2tisserie_.28semi-final.29,8
2,Stacey,'Choux-nicorn and Choux-moji' Choux Buns,2nd,'Flamingos in Love' Meringue Centrepiece,9,_P.C3.A2tisserie_.28semi-final.29,8
3,Steven,Key Lime Cheesecake and Bakewell Tart Choux Buns,3rd,'Some Air Over the Rainbow' Meringue Centrepiece,9,_P.C3.A2tisserie_.28semi-final.29,8
0,Kate,"Roman Spelt, Coconut Kala Chana and Flower Breads",3rd,"White Chocolate, Yuzu and Lychee Entremet",10,_Final,8
1,Sophie,"Spelt Boules, Mushroom Ciabatta and Orange Plaited Brioche",2nd,'Ode to the Honey Bee' Entremet,10,_Final,8
2,Steven,"Spelt & Rye, Toasted Garlic & Fontina and Sweet Chocolate Breads",1st,'Yin Yang' Entremet,10,_Final,8
0,Beca,Gingerbread Latte Yule Log,3rd,Macaron Snowmen Globes,special,The_Big_Christmas_Bake_Off,8
1,Paul,Nutty About Christmas Yule Log,1st,Penguins At Play Snow Globes,special,The_Big_Christmas_Bake_Off,8
2,Selasi,Souche de Noel,2nd,Chocolate Chestnut Wreath Globes,special,The_Big_Christmas_Bake_Off,8
3,Val,Black Forest Yule Log,4th,Memory Lane Snow Globes,special,The_Big_Christmas_Bake_Off,8
0,Benjamina,Minty Mocha Tarts,3rd,Icy the Future,special,The_Big_Festive_Bake_Off,8
1,Rav,Frosty Ginger Bombe Tarts,1st,Frozen Fantasy Cake,special,The_Big_Festive_Bake_Off,8
2,Rob,Warming Winter Spiced Apple Alaska Tarts,4th,Frozen Mist Cake,special,The_Big_Festive_Bake_Off,8
3,Sandy,After Dinner Mint Surprise,2nd,Home for Christmas Cake,special,The_Big_Festive_Bake_Off,8
