,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
4,Kate,Christmas Dinner Compromise,7th,Hot Cross Bunny Churros,3,_Bread,7
5,Rav,Thai Tofu Panang Yorkshires,9th,Three Dip Matcha Pistachio Churros,3,_Bread,7
6,Selasi,Perfect Sunday Roast Accompaniment,8th,Lemon and Anise Churros,3,_Bread,7
7,Tom,West Yorkshire Fusion Puddings,5th,Fennel Churros Snake In The Grass,3,_Bread,7
8,Val,Mum's Chilli Yorkshire Puddings,6th,Orange Chocolate Churros,3,_Bread,7
0,Andrew,Mum and Dad's Breakfast Pastries,6th,Spicy Chorizo Squash Parcels and Baklava Bites,4,_Batter,7
1,Benjamina,'Good Morning America' Swirls and Peanut Butter and Banana Pinwheels,5th,Plantain and Spinach Samosas and Chai Pear Cups,4,_Batter,7
2,Candice,"Danish Pastry Croque Monsieur Kites and Cinnamon Apple, Vanilla Crème Rose Danish",2nd,"Sausage, Black Pudding and Apple Rounds and Banoffee Whiskey Cups",4,_Batter,7
3,Jane,"Orange Pain au Raisins, Raspberry, Chocolate and Almond Danish",1st,"Roquefort, Fig and Walnut Parcels and Cherry and Chocolate Cones",4,_Batter,7
4,Rav,"Cinnamon Swirls and Pecan, Walnut and Maple Plaits",8th,Chinese Style Prawn Filo Tartlets and Spiced White Chocolate and Hazelnut Samosas,4,_Batter,7
5,Selasi,"Rhubarb, Mango and Ginger Plait, and Pineapple and Coconut Pinwheels",3rd,"Parma Ham, Asparagus and Cheese Filo Cigars and Coffee Cream Filo Cups",4,_Batter,7
6,Tom,Mega Breakfast Bonanzas; Granola Spirals and Wheat Foldovers,4th,Yin and Yang Amuse-bouche,4,_Batter,7
7,Val,"Pecan and Maple Syrup Pinwheels and Apple, Sultana and Cinnamon Swirls",7th,"Caramelised Red Onion, Goats Cheese Tartlets and Mincemeat and Apple Spiced Parcels",4,_Batter,7
0,Andrew,Tangy Lime and Ginger Meringue Pie,6th,Spring Elderflower Trio,5,_Pastry,7
1,Benjamina,Grapefruit and Ginger Meringue Pie,2nd,Floral Tea Cake,5,_Pastry,7
2,Candice,"Lime, Coconut and Lemongrass Sugar Meringue Pie",5th,Four Seasons Cake,5,_Pastry,7
3,Jane,Lime and Coconut Meringue Pie,4th,Three Tier Orange Cake with a Floral Chocolate Collar,5,_Pastry,7
4,Rav,Mandarin Margarita Meringue Pie,3rd,Blossom Cake,5,_Pastry,7
5,Selasi,"Grapefruit, Orange and Mint Meringue Pie",7th,Three Tiered Ombré Floral Cake,5,_Pastry,7
6,Tom,Blood Orange Halloween Pumpkin Pie,1st,Floral Tea Cake,5,_Pastry,7
0,Andrew,Tropical Holiday Roulade,1st,Childhood Ice Cream Mousse Cakes,6,_Botanical,7
1,Benjamina,Piña Colada Roulade,3rd,Apple Crumble Mousse Cake and Chocolate Coffee Mousse Cake,6,_Botanical,7
2,Candice,Crowd Pleaser Roulade,2nd,Blackberry and Raspberry Bubbles and After Dinner Mousse,6,_Botanical,7
3,Jane,Chocolate and Hazelnut Roulade,4th,"Chocolate, Coffee, and Vanilla Joconde Cakes and Blackcurrant and Vanilla Ombre Mousses",6,_Botanical,7
4,Selasi,Summer Picnic Roulade,6th,"Lemon, Strawberry and Passionfruit and Chocolate and Mint Mini Mousse Cakes",6,_Botanical,7
5,Tom,Millionaire's Roulade,5th,Hipster Picnic,6,_Botanical,7
0,Andrew,Da Vinci Inspired Geared Pies,2nd,Jousting Knights Marchpane,7,_Desserts,7
1,Benjamina,Mexican Adventure,4th,Tudor Garden,7,_Desserts,7
2,Candice,Cheesy Cheeky Fish Pies,1st,Peacock,7,_Desserts,7
3,Jane,Tudor Rose Pies,5th,Swans,7,_Desserts,7
4,Selasi,Bouquet of Flowers,3rd,Fruity Tudor Marchpane,7,_Desserts,7
0,Andrew,Cheesy Elephant Ears and Herby Treble Clefs,2nd,Philharmonic Fondants,8,_Tudor_.28Quarterfinal.29,7
1,Candice,"Red Onion, Cambozola and Walnut Palmiers and Mushroom, Streaky Bacon, and Parmesan Palmiers",3rd,Chocolate Praline Fondant Fancies and Cherry Bakewell Fondant Fancies,8,_Tudor_.28Quarterfinal.29,7
2,Jane,"Pesto and Sundried Tomato Palmiers and Goats Cheese, Olive and Parma Ham Palmiers",1st,Pistachio and Raspberry Fondant Fancies and Lemon Curd Surprise Fondant Fancies,8,_Tudor_.28Quarterfinal.29,7
3,Selasi,"Sundried Tomato, Onion, Peppers and Parmesan Palmiers and Salmon, Spinach and Mushroom Palmiers",4th,Lime and Ginger Fondant Fancies and Pink Velvet and Raspberry Prosecco Fondant Fancies,8,_Tudor_.28Quarterfinal.29,7
0,Andrew,Crunchy Caramel Cassis Crown,1st,Family and Friends' Favourites Picnic,9,_P.C3.A2tisserie_.28Semi-Final.29,7
1,Candice,Queen Victoria's Mango and Strawberry Crown,2nd,Picnic for Pearly Kings and Queens,9,_P.C3.A2tisserie_.28Semi-Final.29,7
2,Jane,"Red, White and Blue Meringue Crown",3rd,Family Favourites Feast,9,_P.C3.A2tisserie_.28Semi-Final.29,7
0,Ali,Rose & Fennel Henna-Inspired Biscuits and Date & Orange Ma'amoul Bauble Biscuits,1st,Celebration of Jesus Cake,10,_Royal_Picnic_.28Final.29,7
1,Cathryn,"Chocolate Peppermint Candy Canes and Clementine, Cranberry & Rosemary Holly Leaf Biscuits",2nd,Our Christmas Eve,10,_Royal_Picnic_.28Final.29,7
2,Mary-Anne,Christmas Pudding and Christmas Wreath Biscuits,3rd,My Christmas Cakey Bakey,10,_Royal_Picnic_.28Final.29,7
3,Norman,Orange & Cinnamon Dufrickies and Whisky Shortbread Ding Dangs,4th,Gâteau De Joyeux Noël,10,_Royal_Picnic_.28Final.29,7
0,Chetna,Aubergine & Tomato Canapés and Spiced Potato Canapés,3rd,"Family Favourites(Baked Alaska, Bûche de Noël and Ginger & Citrus Cheesecake)",special,Episode_1,7
1,Howard,Smoked Trout Trees with Pea Pastry and Partridge & Pear Treats,2nd,"Camp as Christmas Trio(Cranberry Sherry Glass Trifle, Gingerbread ""House-and-Garden"" Cheesecake and Stollen)",special,Episode_1,7
2,James,Mackerel Mousse Mille-feuille and Red Onion & Goats Cheese Swirls,1st,"Merry Extravaganza(Apple Pie & Custard Doughnut, Chocolate-orange Macaron and Christmas Cake)",special,Episode_1,7
3,Janet,Crab Pâté Gougère Barguettes and Mushroom & Chicken Liver Tartlets,4th,"Festive Friends(Tri-coloured Petit Four, Mont Blanc and Chocolate & Orange Dome)",special,Episode_1,7
