,Baker,Signature,Technical,Showstopper,episode_number,episode_theme,season
3,Jonathan,"Anchovy, Sweet Paprika and Oregano Bread",6th,"Sticky Lemon Honey Bun Olive and Anchovy Roll Sundried Tomatoes and Fresh Herbs Roll Stilton, Walnut and Apple Roll Cinnamon and Cardamom Chelsea Bun",3,_Bread,1
4,Miranda,Walnut and Apricot Bread,3rd,Lemon Iced Buns Chocolate and Orange Buns,3,_Bread,1
5,Ruth,Maple and Pecan Bread,2nd,Chocolate and Orange Panettone Cranberry Bagels,3,_Bread,1
0,David,Pear and Walnut Pudding,5th,"Apple and Blackberry Crumble, Rhubarb and Orange Betty, Suet Pear",4,_Puddings,1
1,Edd,Apple and Plum Pudding,3rd,"Apple and Cinnamon Crumble, Nutella Banana Brioche Bread Pudding, Rhubarb and Strawberry Suet Layer",4,_Puddings,1
2,Jasminder,Sticky Toffee Pudding with Tropical Fruit & Toffee Sauce,2nd,"Bread & Butter Pudding, Treacle Suet Pudding with Fresh Fruit, Apple and Pineapple Crumble",4,_Puddings,1
3,Miranda,Sticky Toffee Pudding,1st,"Queen of Puddings, Chocolate Pear Roly Poly, Strawberry and Rhubarb Crumble",4,_Puddings,1
4,Ruth,Peach and Blueberry Boy Bait,4th,"Apple & Ginger Crumble, Rhubarb Suet Crust, Cherry Queen of Puddings",4,_Puddings,1
0,Edd,"Chicken, Ham, Leek and Tarragon Pie",2nd,"Almond Sweet Pastry with Ginger and Chocolate Raspberry Tart / Yorkshire Curd Tart Chickpea and Salami, Red and Yellow Pepper, Asparagus Gruyere Quiche Canapés",5,_Pastry,1
1,Jasminder,Chicken and Mushroom Pie,4th,"Jaggery, Carrot, and Spiced Condensed Milk Tart Fruit and Custard Tart Thai Chili Red Onion, Duck in Plum Sauce, Salmon and Prawn Canapés",5,_Pastry,1
2,Miranda,"Summery Salmon, Cod and Prawn Fish Pie",1st,"Chocolate Pastry filled with Orange Cheesecake Chocolate Pastry filled with Milk Chocolate Ganche Strawberry Tart with Red Currant Glaze Cheesy Crab, Broad Bean and Tomato, Pancetta Risotto Canapés",5,_Pastry,1
3,Ruth,Minced Beef Pie,3rd,"Raspberry and Dark Chocolate Tart Creme Patisserie and Cherry Tart Citrus Curd Tart with Creme Brulee top Tomato, Asparagus Twirl Canapés",5,_Pastry,1
0,Edd,Cinnamon and Banana Cake,,24 Chocolate and Ginger Tarts 24 Lemon Scones with Passion Fruit Curd 24 Raspberry Choux Buns 24 Finger Sandwiches,6,_Tea_Party_.28Final.29,1
1,Miranda,Lemon Cupcake,Eliminated after signature,,6,_Tea_Party_.28Final.29,1
2,Ruth,"Mint, Ginger and Blackberry Cake",24 Red Pepper and Cheese Quiche Tarts 24 Sultana Scones 24 Vanilla and Lemon Choux Buns 24 Finger Sandwiches,,6,_Tea_Party_.28Final.29,1
